id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_year,release_decade,mood_tags,era_descriptor
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,94,2024,2020s,"euphoric, radiant, uplifting",current
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,58,2016,2010s,"nostalgic, warm, focused",modern
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,81,2008,2000s,"aggressive, adrenaline, rebellious",millennial
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,52,2014,2010s,"calm, introspective, dusty",modern
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,89,2021,2020s,"aggressive, euphoric, powerful",current
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,47,1995,1990s,"dreamy, ethereal, reflective",retro
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,63,1998,1990s,"nostalgic, cozy, soulful",retro
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,76,2011,2010s,"moody, neon, hypnotic",modern
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,67,2018,2010s,"focused, clean, steady",modern
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,84,2022,2020s,"euphoric, hopeful, breezy",current
11,Quiet Cathedral,Aria Vale,classical,serene,0.18,68,0.66,0.22,0.96,39,1986,1980s,"serene, spacious, contemplative",retro
12,Street Pulse,Kinetic Coast,hip hop,energetic,0.86,96,0.73,0.91,0.12,88,2019,2010s,"aggressive, energetic, streetwise",modern
13,River Roots,Saffron & Sage,folk,warm,0.44,104,0.69,0.57,0.74,54,2003,2000s,"warm, earthy, nostalgic",millennial
14,Neon Heatwave,City Static,electronic,dreamy,0.79,126,0.58,0.84,0.20,87,2023,2020s,"euphoric, shimmering, kinetic",current
15,Backroad Anthem,Juniper Drive,reggae,laid-back,0.52,88,0.77,0.68,0.48,66,2001,2000s,"laid-back, nostalgic, rootsy",millennial
16,Steel Horizon,Black Forge,metal,rebellious,0.94,168,0.34,0.63,0.03,79,2007,2000s,"aggressive, defiant, dark",millennial
17,Soul in Motion,Velvet Harbor,blues,soulful,0.46,82,0.61,0.50,0.67,60,1991,1990s,"soulful, warm, expressive",retro
18,Final Frontier,Orbit Theater,cinematic,epic,0.70,78,0.55,0.36,0.81,73,2012,2010s,"epic, expansive, cinematic",modern
